,file_sizes
1745,157648
1746,99511
1747,72263
1748,35151
1749,18432
1750,81920
1751,91786
1752,10863
1753,105728
1754,18315
1755,18341
1756,935852
1757,66509
1758,39470
1759,13191
1760,73202
1761,35476
1762,192384
1763,13204
1764,14560
1765,16668
1766,11014
1767,67206
1768,21769
1769,30781
1770,38635
1771,23068
1772,11535
1773,14676
1774,64062
1775,14254
1776,95313
1777,47479
1778,39291
1779,16671
1780,30175
1781,16506
1782,377974
1783,11955
1784,29971
1785,165633
1786,10824
1787,24044
1788,11747
1789,182895
1790,30395
1791,23111
1792,10754
1793,19077
1794,86626
1795,27088
1796,11849
1797,25724
1798,34298
1799,10008
1800,14810
1801,40911
1802,44754
1803,17257
1804,14840
1805,19849
1806,25946
1807,36368
1808,17527
1809,12422
1810,69657
1811,12989
1812,17146
1813,27362
1814,42972
1815,29094
1816,14710
1817,94562
1818,21749
1819,28523
1820,51422
1821,13361
1822,28456
1823,14830
1824,12781
1825,22196
1826,70961
1827,10128
1828,33640
1829,20817
1830,76460
1831,38658
1832,16343
1833,21732
1834,25074
1835,57234
1836,13239
1837,14033
1838,10384
1839,26194
1840,15020
1841,32878
1842,10988
1843,30396
1844,18246
1845,27974
1846,18402
1847,14635
1848,94103
1849,53111
1850,178318
1851,22975
1852,13621
1853,97760
1854,12430
1855,80922
1856,81059
1857,43413
1858,43413
1859,103752
1860,11016
1861,19232
1862,104674
1863,20042
1864,83682
1865,100666
1866,26154
1867,34363
1868,101111
1869,19815
1870,27778
1871,17438
1872,98259
1873,21746
1874,10467
1875,12390
1876,14118
1877,98649
1878,18359
1879,26441
1880,705016
1881,82980
1882,19891
1883,432164
1884,106006
1885,17287
1886,17167
1887,112314
1888,16268
1889,113899
1890,107613
1891,29496
1892,20534
1893,17853
1894,96485
1895,13073
1896,54781
1897,113904
1898,17022
1899,65010
1900,100998
1901,43657
1902,11409
1903,30359
1904,12531
1905,14825
1906,23751
1907,14049
1908,10428
1909,75940
1910,42964
1911,12449
1912,30359
1913,12531
1914,14825
1915,23767
1916,14113
1917,10428
1918,75940
1919,42756
1920,12449
1921,30787
1922,187989
1923,13933
1924,60875
1925,15027
1926,19616
1927,19511
1928,64377
1929,11808
1930,10563
1931,21285
1932,11979
1933,35334
1934,16321
1935,19769
1936,19616
1937,19820
1938,46944
1939,15178
1940,17655
1941,11664
1942,10281
1943,10789
1944,13283
1945,11929
1946,23296
1947,11224
1948,24522
1949,25108
1950,334282
1951,19216
1952,334282
1953,17867
1954,13826
1955,23317
1956,3666460
1957,24080
1958,3632617
1959,11249
1960,11558
1961,117036
1962,24469
1963,34332
1964,27325
1965,11564
1966,29804
1967,106020
1968,29804
1969,25290
1970,25332
1971,24469
1972,24468
1973,162872
1974,178064
1975,144336
1976,196642
1977,214126
1978,263523
1979,24490
1980,24540
1981,24403
1982,13430
1983,781781
1984,11204
1985,68163
1986,40624
1987,15653
1988,78825
1989,42744
1990,56732
1991,28734
1992,57664
1993,413764
1994,17784985
1995,9911853
1996,745793
1997,1708763
1998,660816
1999,652229
2000,13994635
2001,34243904
2002,1146037
2003,12647628
2004,2757650
2005,31049
2006,53098
2007,38558
2008,27930
2009,53098
2010,33955
2011,27411
2012,53098
2013,38830
2014,23025
2015,21254
2016,30849
2017,84148278
2018,136319030
2019,163872790
2020,98383926
2021,832482
2022,217586
2023,154728
2024,243243
2025,427018
2026,542509
2027,132382
2028,26960
2029,283399
2030,77963
2031,74811
2032,97783
2033,63322
2034,52175
2035,41011
2036,41263
2037,41705
2038,41018
2039,112664
2040,35956
2041,39044
2042,134269
2043,23325
2044,24703
2045,57093
2046,16384
2047,61316
2048,41136
2049,60813
2050,57166
2051,31363
2052,57017
2053,47107
2054,59221
2055,64378
2056,26663
2057,39539
2058,57794
2059,55610
2060,34925
2061,36858
2062,358881
2063,218183
2064,82621
2065,181478
2066,49712
2067,265972
2068,14656
2069,110454
2070,250757
2071,36083
2072,76241
2073,372868
2074,34860
2075,91495
2076,29470
2077,324724
2078,499665
2079,60173
2080,63444
2081,37383
2082,119463
2083,522834
2084,122795
2085,176244
2086,291357
2087,69962
2088,59716
2089,36188
2090,37269
2091,30648
2092,786410
2093,844974
2094,50516
2095,58388
2096,325935
2097,883869
2098,77505
2099,305240
2100,627401
2101,318232
2102,340040
2103,158269
2104,1060445
2105,166820
2106,88663
2107,323782
2108,840285
2109,1014226
2110,112797
2111,298117
2112,113182
2113,320221
2114,74205
2115,865364
2116,176468
2117,339480
2118,199414
2119,161560
2120,158040
2121,323274
2122,114744
2123,168062
2124,326452
2125,179637
2126,338519
2127,92552
2128,96388
2129,347005
2130,300459
2131,243491
2132,326971
2133,246050
2134,339157
2135,330078
2136,324892
2137,34702
2138,876724
2139,107655
2140,36364
2141,138308
2142,245259
2143,237352
2144,95150
2145,186141
2146,81762
2147,171922
2148,163985
2149,208232
2150,171744
2151,618020
2152,281820
2153,212889
2154,211069
2155,216567
2156,864848
2157,51927
2158,52016
2159,45503
2160,113995
2161,58894
2162,74077
2163,81875
2164,53664
2165,57424
2166,82069
2167,47859
2168,224787
2169,55904
2170,39430
2171,37590
2172,18361
2173,50199
2174,37619
2175,190365
2176,220013
2177,37553
2178,61714
2179,324632
2180,292054
2181,45174
2182,87183
2183,221248
2184,35353
2185,533987
2186,248063
2187,223988
2188,258044
2189,32182
2190,172989
2191,99671
2192,86751
2193,129712
2194,96184
2195,47327
2196,179808
2197,354884
2198,290125
2199,256074
2200,390781
2201,277659
2202,23009
2203,39469
2204,138153
2205,43409
2206,122563
2207,208360
2208,26348
2209,16849
2210,207424
2211,58504
2212,73994
2213,108427
2214,24754
2215,40066
2216,96157
2217,41816
2218,29254
2219,27199
2220,87317
2221,58290
2222,42387
2223,56494
2224,59934
2225,37510
2226,31981
2227,38735
2228,29269
2229,18429
2230,37807
2231,44783
2232,119162
2233,51879
2234,55178
2235,46722
2236,81234
2237,68466
2238,15107
2239,37808
2240,45077
2241,24589
2242,24604
2243,187583
2244,46978
2245,21909
2246,107287
2247,36597
2248,69417
2249,34904
2250,79180
2251,45614
2252,46706
2253,54884
2254,20758
2255,55983
2256,53362
2257,46603
2258,74730
2259,30527
2260,13669
2261,117835
2262,38156
2263,35464
2264,31155
2265,36511
2266,24792
2267,17734
2268,27356
2269,21082
2270,37667
2271,32047
2272,22503
2273,22719
2274,39543
2275,48085
2276,32493
2277,14463
2278,30461
2279,28219
2280,23129
2281,17794
2282,51202
2283,41944
2284,29644
2285,34189
2286,145666
2287,78398
2288,69623
2289,64158
2290,37067
2291,87030
2292,94101
2293,91528
2294,84697
2295,85234
2296,11223
2297,18408
2298,12829
2299,80806
2300,60933
2301,657768
2302,225820
2303,28457
2304,34308
2305,353410
2306,183797
2307,125945
2308,113283
2309,72565
2310,96285
2311,45405
2312,62468
2313,222252
2314,144517
2315,12432
2316,362997
2317,892963
2318,206430
2319,441894
2320,600634
2321,892790
2322,304424
2323,297729
2324,517406
2325,102393
2326,259076
2327,692445
2328,527982
2329,791489
2330,932074
2331,93169
2332,875066
2333,863117
2334,253330
2335,505688
2336,885183
2337,109658
2338,1155891
2339,234964
2340,172943
2341,176597
2342,794122
2343,176330
2344,859275
2345,541827
2346,301011
2347,3622282
2348,3243437
2349,110513
2350,820438
2351,975498
2352,215633
2353,314873
2354,73340
2355,289456
2356,873967
2357,306290
2358,21999
2359,245706
2360,231110
2361,757477
2362,423418
2363,16156
2364,406984
2365,865138
2366,859176
2367,590118
2368,1025632
2369,294754
2370,186888
2371,561531
2372,193740
2373,569398
2374,614620
2375,648373
2376,327168
2377,488347
2378,130588
2379,475941
2380,466482
2381,371220
2382,567700
2383,501816
2384,829771
2385,118190
2386,80125
2387,29738
2388,57608
2389,285372
2390,110581
2391,79493
2392,142100
2393,702259
2394,473857
2395,17721
2396,461915
2397,441565
2398,39367
2399,208807
2400,93921
2401,125498
2402,172649
2403,109504
2404,191471
2405,194505
2406,294630
2407,158654
2408,386087
2409,108390
2410,111902
2411,100684
2412,154052
2413,535614
2414,31378
2415,50719
2416,118713
2417,48263
2418,42586
2419,26825
2420,256430
2421,90403
2422,121204
2423,96052
2424,44832
2425,61836
2426,35627
2427,357022
2428,91087
2429,61161
2430,55500
2431,62988
2432,91255
2433,53686
2434,462045
2435,235645
2436,53682
2437,62026
2438,425059
2439,154778
2440,175895
2441,230569
2442,133158
2443,95035
2444,168329
2445,194833
